編號,發布日期,職缺名稱,工作內容摘要,公司名稱,產業描述,最低薪資,最高薪資,學歷要求代碼清單,具體的軟硬體技能要求,目前應徵人數,工作連結
1,20260407,【STAFF】ERP/PLM系統流程規劃設計師 (台北),"試與應用推廣，結合文件處理、知識管理、資料分析或自動化技術，協助提升作業效率與決策品質，推動 AI 在企業營運場景中的實際落地。

4.Python 爬蟲開發與市場情報蒐集
利用 Python 撰寫爬蟲腳本，協助建置「戰情平台」，整合市場情報，輔助",士林電機廠股份有限公司,電力機械器材製造修配業,35000,60000,大學以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001004038', 'description': 'PL/SQL'}, {'code': '12006001008', 'description': 'Oracle ERP'}, {'code': '12006001016', 'description': '鼎新'}]",5,https://www.104.com.tw/job/7xem0
2,20260401,【北士科】DevOps 組長,"、系統架構規劃、雲服務（如AWS、Azure、GCP）、容器化技術(K8s、Docker)和基礎自動化工具(Terraform、Ansible)
2、具備Linux系統管理、程式開發（如Python、Go、Shell）、版本控管（Git）及安全控管",沛思坦網路股份有限公司,網際網路相關業,1000000,9999999,大學以上,"[{'code': '12001005023', 'description': 'AWS'}, {'code': '12001002018', 'description': 'Git'}, {'code': '12001001007', 'description': 'Linux'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001001020', 'description': 'Shell'}, {'code': '12001004032', 'description': 'MySQL'}, {'code': '12001007063', 'description': 'Security'}, {'code': '12001003093', 'description': 'Cloud'}, {'code': '12001002016', 'description': 'Github'}]",4,https://www.104.com.tw/job/8veq8
4,20260407,Python 後端軟體工程師,"1. 設計 AI 相關應用的架構及流程
2. 以 python 開發 Web Application 及 Desktop Application
3. 維護既有產品以及內部套件
4. 撰寫軟體測試",沐恩生醫光電股份有限公司,其他醫療保健服務業,40000,55000,大學以上,"[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001002018', 'description': 'Git'}, {'code': '12001003045', 'description': 'Python'}]",10,https://www.104.com.tw/job/89a38
5,20260407,Python工程師(PN001),"+ 具備 Python 實務經驗
+ 工作態度積極、負責，重視團隊溝通合作 
+ 不當獨行俠，行有餘力時會主動支援及協助

加分 
++ 有使用 Python 開發的開源程式碼專案可供參考 
++ 有撰寫 Unit Test 經驗",祐安資訊有限公司,電腦軟體服務業,40000,55000,專科以上,"[{'code': '12001003045', 'description': 'Python'}]",7,https://www.104.com.tw/job/697yq
6,20250819,Python開發工程師,"職位要求：
1、最低兩年實際python開發經驗 
2、希望為數據工程師
3、主要負責Airflow開發.dbt開發.其它Python系統整合開發，（最好是以上的技術可以都會，但可以接受只會 python + SQL 的人選）",加林軟體科技有限公司,電腦軟體服務業,40000,55000,學歷不均,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001004031', 'description': 'MS SQL'}]",12,https://www.104.com.tw/job/87ua3
7,20260406,Python工程師【信義-金融數位】,"【職務需求】
1.工作經歷：Python相關工作經驗3年以上：
2.熟悉 PySpark，能處理大規模資料運算。

【工作內容】
1.使用 Python 與 PySpark 進行資料處理、ETL、資料清洗及資料轉換。
2.設計與開發 數據特徵（",鈦創軟體資訊有限公司,電腦軟體服務業,40000,55000,專科以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001004018', 'description': 'ETL'}]",5,https://www.104.com.tw/job/8z3y0
9,20260407,Proptech/Fintech Python後端工程師/資料科學家,"Python、Selenium 網路爬蟲相關經驗及網站常見反爬蟲策略經驗
3. 熟悉 MySQL / maria DB
4. 參與過資料視覺化相關專案開發
5. 使用 Python 及 Django 、 FastAPI經驗
6. 開發過 API 系統",九天資產管理股份有限公司,不動產經營業,40000,55000,專科以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001004018', 'description': 'ETL'}]",7,https://www.104.com.tw/job/8tfqn
10,20260331,【研發部】Python  應用工程師,"1. 以 Python 語言編寫blender腳本或外掛(i.e. Blender Python API。
2. 根據客戶需求或專案目標，設計並實作室內模型的自動化分割。
3. 撰寫技術檔案與開發手冊，並針對成果產出測試案例，驗證穩定性與正確性。",真建築科技股份有限公司,網際網路相關業,40000,55000,專科以上,"[{'code': '12001003045', 'description': 'Python'}]",11,https://www.104.com.tw/job/8qhwv
11,20260406,Python程式設計師(PG)(臺北市中山區)(A0043),"【技術需求】
- 熟練 Python 開發經驗（3 年以上為佳），熟悉常見套件與開發環境
- 熟悉 NoSQL 資料庫設計與操作（例如 MongoDB、DynamoDB、Cassandra 等）
- 有處理大規模資料處理、ETL 或批次運算經驗",艾帝浦杰股份有限公司,電腦軟體服務業,55000,65000,學歷不均,[],8,https://www.104.com.tw/job/8zy25
12,20260325,P7-Python資料工程師,"本公司是國內搜尋及語意分析市占率最高的廠商，專注研發非結構資料之數據處理，尋找熟悉Python及物件導向設計的人才加入。工作主要為開發與維運資料產線，搜集語料、資料儲存處理，並提供API服務供下游服務使用。

工作內容如下：
- 資料搜集程式開發",意藍資訊股份有限公司,網際網路相關業,35000,45000,大學以上,"[{'code': '12001003045', 'description': 'Python'}]",13,https://www.104.com.tw/job/7csnw
