編號,發布日期,職缺名稱,工作內容摘要,公司名稱,產業描述,最低薪資,最高薪資,學歷要求代碼清單,具體的軟硬體技能要求,目前應徵人數,工作連結
1,20260310,雲端 / 維運工程師,"任團隊內部的 IT 支援角色，提升整體運營效率

<必要條件>

1. 2 年以上 IT 支援或系統管理相關經驗
2. 擅長至少一種程式語言（Python 佳）
3. 擅長流程化與 Gitflow 等自動化實作
4. 熟悉雲端平台架構並具備相關實務",聚贏有限公司,網際網路相關業,40000,100000,大學以上,[],23,https://www.104.com.tw/job/8flaz
2,20260309,科技教育工程師,"• 熟悉 C 或 Python 等程式語言尤佳。
• 喜歡研究程式邏輯與新興科技。
• 具備良好的閱讀、自學和表達能力。
• 能將技術內容清楚組織並轉化為易懂的教學內容。
• 具備文章撰寫能力，能清楚表達觀點。

☆加分特質
• 有經營技術部落格",旗標科技股份有限公司,消費性電子產品製造業,35000,50000,大學以上,"[{'code': '12001003008', 'description': 'C'}, {'code': '12001003025', 'description': 'Java'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001006013', 'description': 'HTML'}]",6,https://www.104.com.tw/job/5iq8o
3,20260311,Python工程師(PN001),"+ 具備 Python 實務經驗
+ 工作態度積極、負責，重視團隊溝通合作 
+ 不當獨行俠，行有餘力時會主動支援及協助

加分 
++ 有使用 Python 開發的開源程式碼專案可供參考 
++ 有撰寫 Unit Test 經驗",祐安資訊有限公司,電腦軟體服務業,40000,55000,專科以上,"[{'code': '12001003045', 'description': 'Python'}]",0,https://www.104.com.tw/job/697yq
4,20250714,Python Engineer - MAAS Hardware Lab,"This role is office based at our location in Xizhi District, New Taipei City.

This is a Python software engineering",Canonical_英商科能有限公司台灣分公司,其它軟體及網路相關業,1500000,9999999,專科以上,"[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001003045', 'description': 'Python'}]",6,https://www.104.com.tw/job/7vfie
5,20260224,【研發部】Python  應用工程師,"1. 以 Python 語言編寫blender腳本或外掛(i.e. Blender Python API。
2. 根據客戶需求或專案目標，設計並實作室內模型的自動化分割。
3. 撰寫技術檔案與開發手冊，並針對成果產出測試案例，驗證穩定性與正確性。",真建築科技股份有限公司,網際網路相關業,40000,55000,專科以上,"[{'code': '12001003045', 'description': 'Python'}]",9,https://www.104.com.tw/job/8qhwv
7,20260309,Smart Device Automation Developer - Python (工作地點：新店),This is an excellent opportunity for an individual with a strong foundation in Python and a passion for quality assurance to,印度商威普羅股份有限公司台灣分公司,電腦系統整合服務業,50000,75000,大學以上,"[{'code': '12001003045', 'description': 'Python'}]",8,https://www.104.com.tw/job/7at7v
8,20260311,【智慧安防部】Python工程師 (中和),"1.Python為主要語言 
2.使用QT GUI為佳
3.使用Django/Flask為佳
4.GCP/AWS API串接
5.需與韌體工程師、前端工程師、UI/UX、APP開發者人員溝通協調
6.主管交代之事項

有佈署在 GCP或AWS 經",昇銳智慧科技股份有限公司,光學器材製造業,40000,55000,大學,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001006043', 'description': 'Django'}]",7,https://www.104.com.tw/job/8rcw1
9,20260309,P7-Python資料工程師,"本公司是國內搜尋及語意分析市占率最高的廠商，專注研發非結構資料之數據處理，尋找熟悉Python及物件導向設計的人才加入。工作主要為開發與維運資料產線，搜集語料、資料儲存處理，並提供API服務供下游服務使用。

工作內容如下：
- 資料搜集程式開發",意藍資訊股份有限公司,網際網路相關業,35000,45000,大學以上,"[{'code': '12001003045', 'description': 'Python'}]",11,https://www.104.com.tw/job/7csnw
10,20260311,軟體開發工程師 Python 自動控制,"1. Python 程式設計開發維護 (環控系統 自動控制系統)。
2. 人機介面 UI 設計 (環控系統 自動控制系統)。
2. 赴客戶處安裝設定 Python 程式，以控制視訊影音設備。
3. 可獨立或與團隊合作。
4. 基本的英語手冊閱讀能",進懋有限公司,綜合商品批發代理業,33000,60000,高中以上,"[{'code': '12001003045', 'description': 'Python'}]",7,https://www.104.com.tw/job/8bvhf
12,20250819,Python開發工程師,"職位要求：
1、最低兩年實際python開發經驗 
2、希望為數據工程師
3、主要負責Airflow開發.dbt開發.其它Python系統整合開發，（最好是以上的技術可以都會，但可以接受只會 python + SQL 的人選）",加林軟體科技有限公司,電腦軟體服務業,40000,55000,學歷不均,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001004031', 'description': 'MS SQL'}]",11,https://www.104.com.tw/job/87ua3
13,20260309,Silicon Test Engineer - Python (工作地點: 板橋),"programming skills in Python and the ability to translate complex data into clear, actionable insights for engineering teams.

Key",印度商威普羅股份有限公司台灣分公司,電腦系統整合服務業,40000,55000,專科以上,[],2,https://www.104.com.tw/job/8tpxh
15,20260306,Python工程師_1_台北,"【Python工程師夥伴工作內容會包含什麼？】
 · 負責 CMS 後台管理系統 的後端設計與開發
 · 使用 Python / Flask 建立與維護 RESTful API,確保良好的系統架構與可維護性
 · 與 Web 前端工程師合作,設計",昕力資訊股份有限公司,電腦軟體服務業,40000,55000,專科以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001002018', 'description': 'Git'}]",12,https://www.104.com.tw/job/8vznu
16,20260101,【凱基證券/資訊部】Python系統程式設計師,Python API暨策略平台系統維護與開發,凱基金融控股股份有限公司|凱基證券|凱基銀行|中華開發資本|凱基投信,金融控股業,40000,55000,大學以上,"[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001003045', 'description': 'Python'}]",13,https://www.104.com.tw/job/8x3xv
17,20260309,AI科學部- Python 自動化工程師,"意影像結合，打造新一代智能內容生產系統，讓創作效率與品質同時達到業界新標準。

⸻

你的職責
	•	開發 AI 影像自動化流程，將腳本生成、語音合成、分鏡與影片處理串接成完整 Pipeline。
	•	使用 FFmpeg + Python 進行影",酷客創藝股份有限公司,廣告行銷公關業,40000,55000,大學以上,"[{'code': '12001003097', 'description': 'LLM'}, {'code': '12001003088', 'description': 'NLP'}, {'code': '12002001045', 'description': 'Unity'}, {'code': '12001003087', 'description': 'tensorflow'}, {'code': '12001003086', 'description': 'PyTorch'}, {'code': '12001003099', 'description': 'Prompt'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001003010', 'description': 'C++'}]",8,https://www.104.com.tw/job/8qehr
19,20260305,Proptech/Fintech Python後端工程師/資料科學家,"Python、Selenium 網路爬蟲相關經驗及網站常見反爬蟲策略經驗
3. 熟悉 MySQL / maria DB
4. 參與過資料視覺化相關專案開發
5. 使用 Python 及 Django 、 FastAPI經驗
6. 開發過 API 系統",九天資產管理股份有限公司,不動產經營業,40000,55000,專科以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001004018', 'description': 'ETL'}]",5,https://www.104.com.tw/job/8tfqn
20,20260309,115年研發替代役_Python軟體研發工程師,"1. AI 代理與生成式應用專案
2. EIM 企業通訊軟體

【必備技能】
1. 熟悉Python程式語言
2. 熟悉Flask/FastAPI框架使用
3. 熟悉GCP/AWS任一雲端服務
4. 熟悉Git版本控制相關操作
5. 熟悉物件導向程",台灣大哥大股份有限公司,電信相關業,1200000,9999999,學歷不均,"[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001005023', 'description': 'AWS'}]",11,https://www.104.com.tw/job/8w8a8
21,20260309,[台北] 資深後端工程師 Senior Backend Engineer (Python/Django),"-
▋What You Must Have:
▸ Proficient in Python and Experience Python web frameworks (We use Django & Django Rest Framework)","Linker Vision Co., Ltd._鑫蘊林科股份有限公司",電腦軟體服務業,90000,150000,大學以上,"[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001002018', 'description': 'Git'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001004039', 'description': 'PostgreSQL'}, {'code': '12001005023', 'description': 'AWS'}, {'code': '12001006017', 'description': 'JavaScript'}, {'code': '12001006043', 'description': 'Django'}]",13,https://www.104.com.tw/job/7ize1
23,20260305,2026 永豐金證券 ITT資訊科技人才計畫,"。

✦職缺類別
✔數位平台架構：未來著重內部相關專業為◆數位金融➔AI創新與應用➔Python程式開發➔平台發展與創新
✔系統專案規劃：未來著重內部相關專業為◆系統專案➔AI應用➔專案推動➔系統開發

✦計畫亮點
⚝兩年培訓期間、保障百萬年薪
⚝",永豐金證券股份有限公司,證券及期貨業,40000,55000,大學以上,"[{'code': '12001003045', 'description': 'Python'}]",50,https://www.104.com.tw/job/8xo1w
24,20260306,演算法工程師,"1.  Python 撰寫
2 . AI 演算法撰寫
3. AR utility 程式設計
4. 收集、處理、儲存和管理數據, 開發模型
5. 機器學習模型開發",普克科技有限公司,其它軟體及網路相關業,45000,9999999,高中以上,"[{'code': '12001003010', 'description': 'C++'}, {'code': '12001003045', 'description': 'Python'}]",7,https://www.104.com.tw/job/721d2
25,20260310,【電商】初階後端工程師｜Python・Django・系統維護 ( 汐科3分鐘 ),"Django / Python
  ・資料庫：MySQL / MariaDB
  ・版本控制：Git
  ・協作工具：完整 Code Review 制度
  ・AI 工具：積極導入 AI 輔助開發流程


  【你的實戰任務】

  ◎ 維護與改善既有",杰特企業有限公司,綜合商品批發代理業,33000,38000,專科以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001006043', 'description': 'Django'}, {'code': '12001006017', 'description': 'JavaScript'}, {'code': '12001006030', 'description': 'jQuery'}, {'code': '12001003004', 'description': 'AJAX'}]",15,https://www.104.com.tw/job/8ixn5
26,20260311,網站開發全端工程師 (Python),"共同成長，學習與應用最新的技術:
   a. 以 Python 為主，JAVA 為輔
   b. Javascript ES6, React, Angular, Vue 以及 CSS 開發前端 UI
   c. MySQL 資料庫管理、曾接觸",台灣智園有限公司,電腦軟體服務業,40000,55000,大學以上,"[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001001008', 'description': 'Mac OS'}, {'code': '12001002018', 'description': 'Git'}, {'code': '12001003025', 'description': 'Java'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001004032', 'description': 'MySQL'}, {'code': '12001006013', 'description': 'HTML'}, {'code': '12001006030', 'description': 'jQuery'}, {'code': '12001006032', 'description': 'CSS'}, {'code': '12001006033', 'description': 'Sass'}, {'code': '12001006034', 'description': 'Node.js'}, {'code': '12001006037', 'description': 'AngularJS'}, {'code': '12001006038', 'description': 'VueJS'}, {'code': '12001006036', 'description': 'ReactJS'}]",13,https://www.104.com.tw/job/43gvt
30,20260106,【凱基證券/量化策略部】量化策略研究員,"1.負責Python程式，交易策略的研究與開發。
2.Python技術支援，講座/課程之講師，以及協助解決客戶問題。
3.能獨立進行問題收集與分析，並進行相關的溝通與協調。
4.參與資料收集、爬蟲、清理、轉換、挖掘、探索、統計等數據分析作業。",凱基金融控股股份有限公司|凱基證券|凱基銀行|中華開發資本|凱基投信,金融控股業,40000,55000,大學以上,"[{'code': '12001003045', 'description': 'Python'}]",5,https://www.104.com.tw/job/8vsph
32,20260304,期貨法人儲備幹部,"執行法人業務聯繫、維護客戶關係、行政作業執行，會 python尤佳。
具法人接單經驗佳",國票期貨股份有限公司,證券及期貨業,35000,60000,專科以上,"[{'code': '12001003045', 'description': 'Python'}]",1,https://www.104.com.tw/job/4iuiu
