電影名稱,評分,評論
超級瑪利歐銀河電影版,5.0,好好看，耀西可愛破表，背景音樂和電動畫面都很棒
超級瑪利歐銀河電影版,5.0,"首映當天沒什麼人，看杜比影廳。
畫面很美，劇情還不錯。
有一些別的電影梗（星際異攻隊）🦊
機器人🤖（動物方城市）🦥
各式各樣的關卡、遊戲元素👍
有玩過的人看好看滿～
彩蛋有兩個～
1.白色星星（第一集有出現喔😌）
2.黛西公主👸（字幕全部跑完）
這集耀西戲份很多😍😍可愛😻"
超級瑪利歐銀河電影版,5.0,"真的太好看了！非常適合帶小朋友一起觀賞
有趣刺激好玩"
超級瑪利歐銀河電影版,4.0,"第一集劇情比較好
第二集很多彩蛋
期待第三集"
超級瑪利歐銀河電影版,4.5,耀西🦖 好可愛
超級瑪利歐銀河電影版,5.0,"跟孩子第一次看瑪力歐電影
比想像中更好看👍"
超級瑪利歐銀河電影版,3.0,畫面華麗但劇情不是很好😓😓
超級瑪利歐銀河電影版,5.0,"好好看好可愛😻
期待第三集！"
超級瑪利歐銀河電影版,4.5,好看 喜歡任天堂的一定推薦
超級瑪利歐銀河電影版,5.0,意外加入了一些任天堂其他IP的角色，看到遊戲畫面融入滿滿的感動。
超級瑪利歐銀河電影版,4.0,願下一部不要太久
超級瑪利歐銀河電影版,5.0,"超越上一集
大推
出現很多遊戲上的景典橋段
音樂配樂也超棒"
超級瑪利歐銀河電影版,4.0,"續作加上我沒玩過銀河瑪利歐，整體新鮮感就不如第一集，是還行但比較喜歡第一集。
耀西很可愛，但感覺就只是為了讓他出場而出場..."
超級瑪利歐銀河電影版,4.5,劇情很亂，但特效滿分，爽就好了
超級瑪利歐銀河電影版,5.0,"小恐龍耀西很搶眼
看了都想養一隻"
超級瑪利歐銀河電影版,5.0,"好看，超強ip,每場都坐很多人
耀西有夠可愛"
超級瑪利歐銀河電影版,4.0,可愛~但劇情普通（對於大人而言）
超級瑪利歐銀河電影版,4.5,有可愛的耀西實在太棒了！但是電影院外主角們乘船的夢幻畫面並未出現在電影中
超級瑪利歐銀河電影版,5.0,好看 耀西意外的有點屁 哈哈
超級瑪利歐銀河電影版,5.0,好看好笑👍
超級瑪利歐銀河電影版,5.0,玩家覺得看得很爽，劇情真的不重要，看的是情懷
超級瑪利歐銀河電影版,5.0,將電影裡融入遊戲片段，讓玩家們彷彿回到遊戲之中的快感，可愛的角色讓人越看越喜歡。 影片傳遞正向積極的生活態度，讓觀影者除了看電影也有重新思考人生的生活態度
超級瑪利歐銀河電影版,5.0,太精彩了。。。可惜沒有賀喜剛
超級瑪利歐銀河電影版,5.0,真神做啊
超級瑪利歐銀河電影版,5.0,很好看，我覺得幾乎沒冷場，有明星大亂鬥的感覺，期待下一部，不知道會不會發展任天堂宇宙呢？
超級瑪利歐銀河電影版,5.0,"雖然沒看過!
有看預告片!
我也剛看完馬力歐大電影(線上有播過的)
但這個新作的劇情也很棒
預告中的小庫巴真的很可愛!❤️❤️❤️"
超級瑪利歐銀河電影版,5.0,超級瑪利歐銀河電影版！我特別喜歡粉紅色穿著裙子黛西公主👸👸👸👸👸！我看過第一集超級瑪利歐電影非常好看！非常的棒！非常的讚！非常適合大小朋友去看這部電影喔！我還沒有去看這部電影！我玩過超級瑪利歐賽車遊戲！這個遊戲特別好玩！我每一次都選擇黛西公主賽車遊戲都第一名喔！
超級瑪利歐銀河電影版,1.5,故事完整性不及格，跟第一集比起來差很多。
超級瑪利歐銀河電影版,5.0,"OMG!!(Oh My Gosh!!)😍🥰
今年2026年4月1日愚人節正式上映的最夯電玩拍成的Movie:🎦 （超級瑪利歐：銀河電影版）終於降臨哦！！🎊🎉🪩🌈😻🍀
非常開心可以看見家喻戶曉的瑪利歐、碧姬公主、路易吉、奇諾比奧還有叫人恨得牙癢癢的庫巴以及牠忠心耿耿的跟班卡美克哦！！🤗🤭
因為我有看完這部動畫的第1集，所以迫不及待可以過去欣賞第2集全面升級以後的畫面呢！！🙀🤑
當然可以看見有新成員加入，協助他們打趴庫巴的最強神隊友分別是超萌恐龍耀西和星之子奇可，酷似碧姬公主的羅潔塔公主還有蜂蜜女王、青蛙王瓦特、火狐狸克勞德哦！！🐳🦭
接下來是庫巴的寶貝兒子庫巴2世即將進入備戰狀態，親自救出庫巴以後很快就要風雲再起人心惶惶啊！！
最後就是放清明連假的時候來臨，你們有興趣的話可以過去欣賞從3D變成4DX版本，還有選擇欣賞IMAX版本就能夠親身體驗震撼效果蠻好哦！！♥️♥️♥️♥️♥️♥️💋💋💋💋💋💋"
超級瑪利歐銀河電影版,4.0,很好看，故事也很緊湊，結合電玩其實很可愛
狸想世界,5.0,影片後面有兩段彩蛋，最後一個要字幕全跑完才會出來，好多口碑場的人以為一個就離開了，記得ㄛ！
狸想世界,5.0,"沒有抱什麼預期心理去看，結果反而超可愛😍
到現在還是會不時想起可愛的河狸王🤣"
狸想世界,5.0,不知道是因為太久沒看皮克斯，還是現在的皮克斯已經大改路線了，我覺得這次的《狸想世界》題材蠻深的，也很值得省思。它不是只有可愛動物，裡面融入了很多社會議題，有些甚至要仔細觀察才會發現。原本我只是為了那隻迷因蜥蜴去看，但看完之後，留在心裡的已經不只有牠了，反而從故事中看見了很多讓人思考的事情。真的很推薦這部片，但要試著用不同角度去看，會發現比想像中更多的內容，而且會有很多意想不到的收穫。
狸想世界,4.5,看完真的太喜歡了🦫🦫🦫🪵🪵🪵❤️❤️❤️🥔
狸想世界,5.0,喜歡河狸王❤️很善良
狸想世界,4.5,超級可愛，好多笑點，也有讓我感人落淚的環節。真的好愛這種又可愛又好看又娛樂好笑又感人的電影。
狸想世界,4.0,前面以為就只是很中規中矩的動畫片 結果沒想到後面整個哭出來
狸想世界,5.0,好笑又感人，適合闔家觀賞，人類為了自身利益而破壞小動物們的棲息地，令人省思
狸想世界,5.0,"真的特好看！
口排場就去看了
今年如果要進電影院看一部，可以考慮這部！"
狸想世界,5.0,"喜歡這次的劇情💖
從頭到尾都精彩，沒有冷場。
任何物種都要和平共處、相互制衡。
片尾兩個彩蛋，一個要等全部字幕跑完～
可看可不看（ 螞蟻🐜幫阿公運送）
主角是女孩，但我覺得畫風跟配音很像男孩😝
整體給十分，適合全家觀賞👍👏"
狸想世界,5.0,"開心 又感人的劇情 很值得闔家觀賞。
角色們鮮明又可愛😻
🦫🐻🦎🪵❤️❤️❤️"
狸想世界,5.0,不錯看
狸想世界,5.0,超好看，我的最愛是阿廢
狸想世界,5.0,一開始只是被可愛吸引，但看到後來是令人省思的劇情，好看👍
狸想世界,4.5,"意外的不分年齡大家都適合去看
好笑可愛環境議題都表達得很清楚👍"
狸想世界,5.0,好看喔
狸想世界,5.0,很可愛，劇情也有趣，不過的確現在其他物種的生活空間都被人類佔領，值得深思
狸想世界,4.5,"本來覺得應該普通的動畫
沒想到好笑又感人
河狸🦫超可愛！"
狸想世界,5.0,👍👍👍
狸想世界,5.0,適合全家一起看的電影！超級好看又好笑！
狸想世界,4.5,"意識移轉這種事不是只有阿凡達，也不是只有人類可以移轉，連毛毛蟲也來参一腳。
但這不是重點，不要干預自然才說故事的主軸，擇善固執則是打破主軸的主軸。皮克斯動畫小孩的角度有他們想要的歡樂，成人的視角有另一番的弦外之音。很推"
狸想世界,5.0,畫得超級可愛😍
狸想世界,4.0,"那個陪伴我無數童年的皮克斯動畫工作室，曾在《料理鼠王》裡告訴我——「料理非難事，人人都有機會成為食神」；也在《Cars 3：閃電再起》裡提醒我——「不要畏懼失敗，你應該要擔心沒有機會嘗試」當我期待再次遇見那份童年的魔法時，這次的主角，卻變成了一隻河狸。
由丹尼爾·鍾執導的《狸想世界》，大膽地將類似《熊熊遇見你》的美式幽默，融入皮克斯一貫細膩又奇妙的敘事之中。
故事在動物與人類的視角之間來回穿梭，看似荒誕，卻在不知不覺中，讓我們與這個世界重新建立連結。
《狸想世界》在可愛與瘋狂的外表之下，其實講的是一個關於「理解與被理解」的溫柔故事。
如果你喜歡《熊熊遇見你》那種帶點ㄎㄧㄤ、卻又真誠的幽默，那你一定會愛上《狸想世界》裡，那份剛剛好的溫暖。"
狸想世界,5.0,Good
狸想世界,5.0,"老實說上個禮拜搶先口碑場，我有過去欣賞3D版本的Movie哦!🤭
這次決定2刷這部最新動畫Movie，最好笑的是喬治國王向梅寶抗議森林出現惱人噪音的時候，連同許多動物來模仿不同聲音的畫面真是笑死我了！😂
而且這次邀請傳奇奧斯卡金像獎影后梅莉史翠普，由她親自配音昆蟲女王展現霸氣十足真是Surprises Me!!🏆🪩🎊🎉🌈♥️💋
當然還有梅寶變成河狸，和阿廢還有蜥蜴湯姆拯救傑瑞市長免遭毒手，使用文字轉語音完整表達每句話真的蠻有趣哦！😍😍😍😍😍😍🥰🥰🥰🥰🥰🥰♥️♥️♥️♥️♥️♥️💋💋💋💋💋💋"
狸想世界,5.0,超好看！
狸想世界,5.0,以為是皮克斯療癒搞笑喜劇，結果我竟然還看到哭🤣
狸想世界,4.5,❤️🦫❤️
狸想世界,4.0,"整部電影都圍繞著「可愛」
真的會被河狸給萌暈～🦫❤️
突然其來的橋段會讓人腦洞大開
不過整體劇情稍嫌公式化
大部分發展都在預料之內
探討的議題重要但也不算新穎
中規中矩的故事靠著強大「萌力」加不少分"
狸想世界,5.0,超好看
李克寧 墓乃伊,5.0,"完勝所有厲陰宅系列電影
神鬼傳奇+大法師。此生必看！"
李克寧 墓乃伊,4.0,"完整的故事，蠻精彩的，父愛還是偉大，讓我想到惡靈古堡8村莊結局。
看到後面想說怎麼神父還沒出現🤣
可憐的奶奶，戲份好重。"
李克寧 墓乃伊,3.5,"恩...
這是！
鬼玩人穿越到木乃伊了
算是可看（但鬼玩人復活比較好看）雖然這部是木乃伊 這個導演拍出來的對我來說就是鬼玩木乃伊🫪"
李克寧 墓乃伊,3.5,"導演導的好，不過編劇還是荒謬，
女兒從石棺出來，都不會帶去教會請神父加持一下嗎？直接帶回家讓鬼在家亂跑
再來，為什麼全部的鬼片都不會開燈嗎,整個電影唯一燈光就是手電筒
警局跟家裡面都沒燈的嗎？"
李克寧 墓乃伊,5.0,"不錯
節奏不會太慢
畫面上處理的也很棒"
李克寧 墓乃伊,5.0,超讚👍 真不愧是溫子仁
李克寧 墓乃伊,5.0,"嚇到我不要不要
可是很好看
恐怖氛圍到回家了，晚上想到還會怕😑"
李克寧 墓乃伊,4.5,恐怖片看多了，大部份都覺得不恐怖.... 且有的恐怖片真的很爛很難看，但這部片有幾個片段會讓我覺得有點毛骨悚然....拍片的手法技術也很好，喜歡看恐怖片的人一定要看
李克寧 墓乃伊,5.0,"我被嚇到了🙂‍↕️不過我還是看完了😳
不得不說好看到不行…
奶奶..死掉是很好玩的事喔😅"
李克寧 墓乃伊,4.5,很好看，親情、恐怖、噁爛全部擁有！
李克寧 墓乃伊,4.5,看完的感想~會恐怖但不嚇人…是好痛😱
李克寧 墓乃伊,5.0,"太誇張了，這片已經從恐怖片直接升級成驚悚片。
不但無冷場，還非常噁心、直接把皮膚撕下、腸子露出，太扯。
看過幾十年的恐怖片，都沒這這麼恐怖，大力推"
李克寧 墓乃伊,5.0,阿嬤 真的可憐、看完都覺得好痛～結局 我喜歡❤️
李克寧 墓乃伊,4.5,有別一般的劇情，創造恐怖片新高度👍
李克寧 墓乃伊,4.5,"恐怖還不錯 但真的好痛
音樂也蠻嚇人的
故事很完整 但感覺不會有續集
大推"
李克寧 墓乃伊,4.5,很頂
李克寧 墓乃伊,4.5,這是我看過美國恐怖😱片劇情的舖陳和張力十足……越到後面越令人震驚😱值得一看！
李克寧 墓乃伊,5.0,其實沒有很恐怖，但劇情還不錯，看4DX很過癮
李克寧 墓乃伊,4.0,算有劇情有恐怖 真可惜最後被奶奶破防
李克寧 墓乃伊,5.0,近期看到最精彩的恐怖片，邪魅氛圍營造的很成功，讓人期待下一秒會要搞什麼更病態噁心的行為，希望後面留的伏筆會有續集👍李克寧:XXX😆
李克寧 墓乃伊,4.0,劇情不錯，沒有為了殺而殺亂死一通，氣氛慢慢堆疊鋪陳起來，逐漸釐清為何變成這樣？但也不算很沈重，蠻緊張，有血腥、有親情、有懸疑、有演技，整齣電影是完整的說完一個小人物家庭的故事以及掙扎
李克寧 墓乃伊,4.5,玩惡靈古堡一代到現在都沒在怕的，可不知為何⋯，這到後來⋯應該是撐到看錄影帶開始，我只能閉上眼睛，但聽音效、音樂仍感到驚悚。
